player_name,pitch_type,swings,avg_physics,avg_xwoba,whiff_rate,avg_launch_speed,avg_chase_deviation,outside_zone_pitches,raw_chase_rate,physics_z,chase_z,discomfort_score
"Chivilli, Angel",CH,173,0.2632,0.2187,0.4335,81.8178,-0.014,209,0.3254,0.3991,-0.4122,-0.0022
"Chivilli, Angel",FF,206,-0.0113,0.3952,0.1019,87.4679,-0.0244,214,0.2196,-0.0123,-0.5964,-0.0168
"Civale, Aaron",CU,125,-0.6916,0.2761,0.224,82.1977,0.0025,121,0.2893,-1.0323,-0.1205,-0.0271
"Civale, Aaron",FC,263,0.3757,0.2915,0.2015,81.2489,0.0404,276,0.2935,0.5678,0.5476,0.0282
"Civale, Aaron",FF,111,-0.4332,0.2961,0.1622,83.4625,-0.0187,150,0.22,-0.6449,-0.4951,-0.0286
"Civale, Aaron",SI,128,-0.0287,0.3083,0.125,85.5096,-0.0119,139,0.2158,-0.0385,-0.3762,-0.0113
"Clarke, Taylor",SL,166,0.245,0.2221,0.3193,81.343,0.0159,166,0.3313,0.3718,0.1157,0.0118
"Clase, Emmanuel",FC,211,0.1456,0.3312,0.2417,83.2649,0.0317,151,0.3046,0.2229,0.3937,0.016
"Clase, Emmanuel",SL,110,-0.0816,0.2064,0.3364,79.5169,0.0005,116,0.3276,-0.1178,-0.1572,-0.0071
"Cleavinger, Garrett",SI,131,0.7404,0.3499,0.2061,86.333,-0.036,122,0.2049,1.1146,-0.8018,0.0035
"Cleavinger, Garrett",SL,152,-0.0833,0.2799,0.3487,83.5977,0.005,152,0.3355,-0.1204,-0.0774,-0.0049
